z,residual
2.333999999999999964e-02,-5.682326665176147262e-01
2.333999999999999964e-02,-3.417155703036349190e-01
2.349000000000000046e-02,1.165668537247944947e+00
2.350000000000000006e-02,1.390942029771024269e-01
2.358000000000000027e-02,6.964784269204680189e-01
2.367999999999999966e-02,9.616217323547191498e-01
2.374000000000000069e-02,-6.087229267592128013e-01
2.382000000000000089e-02,-6.554200344671311518e-01
2.394999999999999907e-02,-7.210417784416101039e-02
2.394999999999999907e-02,-2.392043381809104974e-01
2.394999999999999907e-02,9.413587290205626124e-01
2.395999999999999866e-02,-2.781795492408518089e-01
2.403999999999999887e-02,3.223216171770242333e-01
2.404999999999999846e-02,-7.897238666330274048e-01
2.406000000000000152e-02,-6.275423071555731314e-01
2.412999999999999867e-02,3.013418629012484251e-01
2.414000000000000173e-02,-3.783398802712281683e-02
2.419999999999999929e-02,-3.899780991997168211e-01
2.419999999999999929e-02,3.305440964838194384e-01
2.420999999999999888e-02,-6.517697445629674347e-01
2.421999999999999847e-02,-3.915769000119231902e-01
2.425000000000000072e-02,2.518276948843012897e-01
2.426000000000000031e-02,-3.554811928655320363e-01
2.426000000000000031e-02,-1.215609457572551122e+00
2.435999999999999971e-02,2.159234665517956731e-01
2.435999999999999971e-02,-1.422400522553383562e+00
2.443000000000000033e-02,-1.758166395657321690e+00
2.450000000000000094e-02,-2.331471781377664476e-01
2.450000000000000094e-02,5.586183166927326527e-01
2.451000000000000054e-02,2.319513817459029070e-01
2.451000000000000054e-02,2.756797205507908067e-03
2.451000000000000054e-02,-6.909478925745768940e-01
2.453999999999999931e-02,-8.136701864296418396e-01
2.469000000000000014e-02,2.978616502602517424e-01
2.469000000000000014e-02,2.680445754435481498e-01
2.474000000000000157e-02,4.735840061358515540e-01
2.476000000000000076e-02,-4.067446995772003859e-01
2.476000000000000076e-02,3.340084866988069119e-03
2.476000000000000076e-02,-7.291977134914753300e-01
2.480999999999999872e-02,-8.382779999548567451e-01
2.480999999999999872e-02,-1.265181409552646352e+00
2.480999999999999872e-02,-3.921061889829016711e-01
2.491000000000000159e-02,4.816169892727742430e-01
2.492000000000000118e-02,-1.369325436143295216e-01
2.494000000000000036e-02,-6.057395141290249363e-01
2.494000000000000036e-02,-6.824178196415690012e-01
2.498999999999999833e-02,-3.509203891080628912e-01
2.500000000000000139e-02,-5.988211320054629416e-01
2.500000000000000139e-02,4.350783494212139280e-01
2.500000000000000139e-02,6.481788494545935864e-01
2.521999999999999936e-02,4.452804120760869844e-01
2.525000000000000161e-02,1.417343866744989800e+00
2.537999999999999978e-02,-5.242300084272286109e-02
2.546999999999999958e-02,-8.215735051990551430e-01
2.553000000000000061e-02,2.739777964078971562e-01
2.579000000000000042e-02,-3.806867568866153517e-01
2.581999999999999920e-02,1.221297936691835007e-01
2.583999999999999839e-02,6.949076021835884909e-01
2.583999999999999839e-02,-3.038347805507907728e-01
2.583999999999999839e-02,-9.569894249612398429e-01
2.591999999999999860e-02,-1.185907713458461910e+00
2.595000000000000084e-02,7.253721569527240565e-01
2.597000000000000003e-02,3.671140885494795780e-01
2.597000000000000003e-02,5.057143782890343164e-01
2.603000000000000105e-02,4.594774210881615861e-01
2.603000000000000105e-02,5.083263462121770937e-01
2.617999999999999841e-02,6.369334930311990606e-01
2.632999999999999924e-02,3.329939172554025051e-01
2.639999999999999986e-02,4.934664577159288967e-01
2.642999999999999863e-02,1.767127397162676639e-01
2.642999999999999863e-02,4.301996995934895818e-01
2.655000000000000068e-02,4.999144743581969696e-01
2.655000000000000068e-02,-3.362038782811500592e-01
2.655000000000000068e-02,-5.065024660695444103e-03
2.659999999999999865e-02,2.032282883881128821e-01
2.675999999999999907e-02,3.481919906205626081e-01
2.690999999999999989e-02,-7.704998675971423960e-01
2.704000000000000153e-02,-7.480439501434812399e-01
2.716999999999999971e-02,-9.636103565530096393e-01
2.716999999999999971e-02,-6.723821296895189370e-01
2.716999999999999971e-02,-9.849886093265366460e-01
2.721000000000000155e-02,1.069079414682082785e+00
2.724000000000000032e-02,1.359141243463170279e-02
2.732000000000000053e-02,8.050444575661976909e-01
2.732000000000000053e-02,-1.866964328172801254e-03
2.732000000000000053e-02,3.737577974027040950e-01
2.748000000000000095e-02,2.976075892677053636e-01
2.758999999999999994e-02,1.666177006754331336e+00
2.769999999999999893e-02,1.254486319336082012e+00
2.775000000000000036e-02,-1.325508792369110289e-01
2.777999999999999914e-02,-1.231044621153219776e+00
2.778999999999999873e-02,1.313453570884580257e+00
2.793999999999999956e-02,-4.215720614569608005e-01
2.801999999999999977e-02,-4.129357785592471242e-01
2.806000000000000161e-02,-1.765738626925290378e+00
2.826999999999999999e-02,-2.881518721137535932e-01
2.827999999999999958e-02,-1.402096716414486799e-01
2.828999999999999918e-02,9.815056008105160767e-01
2.830999999999999836e-02,8.314044295206551860e-01
2.830999999999999836e-02,1.159646498045219021e+00
2.830999999999999836e-02,1.164681446245355190e+00
2.834000000000000061e-02,-5.310850869675719232e-03
2.834000000000000061e-02,-1.964602573693848553e-01
2.844000000000000000e-02,1.713387154751859098e+00
2.844999999999999959e-02,-1.489224609790054554e+00
2.850000000000000103e-02,-7.869356353214115307e-01
2.859000000000000083e-02,9.003841071603457813e-02
2.870999999999999941e-02,2.770534590406327768e-01
2.874000000000000166e-02,3.015585501869972873e-01
2.875000000000000125e-02,4.405847884499577427e-01
2.886000000000000024e-02,-1.170763230699464863e+00
2.895000000000000004e-02,1.072645109234254157e+00
2.895000000000000004e-02,6.738621183180748542e-01
2.895999999999999963e-02,8.342656679106428275e-01
2.900000000000000147e-02,4.322227431143089715e-01
2.934000000000000150e-02,-7.738020243575050028e-02
2.935000000000000109e-02,2.679159191496731651e-01
2.953000000000000069e-02,-5.637271449834253545e-01
2.962000000000000050e-02,2.026727482748073239e+00
2.964999999999999927e-02,-6.957061917151042829e-01
2.972999999999999948e-02,2.147773559447981873e-01
2.978000000000000091e-02,1.873525091707215207e-01
2.978000000000000091e-02,5.206219985699337902e-03
2.978000000000000091e-02,-2.853431945851556822e-02
2.980000000000000010e-02,-6.978396796661913426e-02
2.988000000000000031e-02,1.121635129966384176e-01
2.989999999999999949e-02,-1.191638318223188442e+00
2.994000000000000133e-02,-8.257420682247412769e-02
3.002000000000000154e-02,2.479594723104858178e-01
3.004000000000000073e-02,5.000635754476938644e-01
3.006999999999999951e-02,-4.753601781603985499e-01
3.013000000000000053e-02,3.064972772896766839e-01
3.024999999999999911e-02,5.956221413049693665e-03
